objectid,case.item,caseid,aeon_id,itemimage,title,description,image_alt_text,attr,orig_link
1-1,1.1,1,56993,56993_Flag-at-Salona_01m.webp,"Nicolacki Mitropolos in Voyage à Athènes et à Constantinopole, ou collection de portraits, de vues et de costumes grecs et ottomans, peints sur les lieux, d’après nature, lithographiés et coloriés\n","In February 1819, Louis Dupré accompanied three British art enthusiasts on their journey to Greece, a region teetering on the brink of revolution against the Ottomans. Until April 1820, they traveled through Corfu, Epirus, Thessaly, Central Greece, Attica, and the Saronic Islands. Dupré continued to Constantinople and Bucharest at the invitation of Prince Michael Soutsos of Moldavia (1784–1864), Great Dragoman of the Sublime Porte and a Phanariot Greek. Dupré recorded his experiences in portraits and costume studies, alongside drawings of antique monuments. Between 1824 and 1837, he published his drawings in a luxurious volume as forty chromolithographs, including visual celebrations of the Greek resistance that enjoyed reprints as far as the U.S. This portrait depicts patriot Nicolacki Mitropolos at the battle in Salona (modern-day Croatia) on Easter in 1821. The hero dramatically tramples an Ottoman while raising his flag.",,"Louis Dupré (draughtsman, 1789–1837)
Mademoiselle Van Cuttsem (colorist)
Chromolithograph
Paris, France: Dondey-Dupré, 1825
Brown University Library, Anne S. K. Brown Military Collection",https://bruknow.library.brown.edu/permalink/01BU_INST/9mvq88/alma991027179209706966
1-2,1.2,1,56994,56994_Greek-Warriors_01m.webp,Greek Warriors,"This character study juxtaposes two figures in the regional costumes of Greek revolutionaries. The figure with a trim mustache on the right appears relaxed and unarmed while smoking a long opium pipe. A caption identifies the figure on the left as Nikitas (Nikitaras) Stamatelopoulos (c. 1784–1849), who gained renown as a leader after his victory at the Battle of Dervenakia (1822) and later engagements under the sobriquet Turkofaghos (Greek for “Turk-eater”). Fittingly, he stands ready for battle with his sword in hand and guns tucked into an embroidered sash. His fur kaftan further distinguishes him as a local notable of status, though he maintained a documented reputation of indifference to wealth. Following the war, his opposition to the new Bavarian Regency of Greece landed him in jail.",,"Artist(s) now unknown (European in Greece or Ottoman Empire)
Watercolor on paper, c. 1825
Brown University Library, Anne S. K. Brown Military Collection",https://repository.library.brown.edu/studio/item/bdr:225759/
1-3,1.3,1,56995,56995-Album-of-21-Watercolors_07m.webp,"Studies from an Album of Twenty-One Watercolor Drawings of Ottoman, Greek and Levantine Costumes","Travelers, merchants, and diplomats frequently purchased costume albums produced by Ottoman commercial painters to document the people and sights of the region. Though often sold as individual stock figures, collectively these albums made bespoke portraits of the empire, as the organization of each collection could differ drastically based on the consumer. The albums perused by armchair travelers further popularized ethnic and regional costume far beyond the bounds of the empire. Frequently copied into prints and adapted into European and American fashions by the nineteenth century, such images fueled turquerie soirées of elites, inspired the Turkish trousers of suffragettes, and allowed political supporters of the Greek Revolution to dress the part in solidarity. Paintings from this album offer characters from all sides of this conflict, such as a Balkan cavalryman in decorative russet jacket and pantaloons bearing a scimitar, a klepht (Greek) soldier, and an Ottoman janissary officer known as a çorbacı.","Turkish cavalryman in decorative russet jacket and pantaloons, wearing scimitar with back to viewer; standing figure of klepht (Greek) soldier;  Turkish military officer (Çorbacı)","Artist(s) now unknown (Greece or Ottoman Empire)\nWatercolor on paper, c. 1800
Brown University Library, Anne S. K. Brown Military Collection",https://bruknow.library.brown.edu/permalink/01BU_INST/9mvq88/alma991035491789706966
1-4,1.4,1,56996,56996.webp,Combat Scenes of Greek War of Independence,"These small lithographs feature character types from the armies participating in the Greek War of Independence. Possibly intended for a book, each hand-colored figure appears captured in action on a black-and-white background. Lithography held a special place among artists as the print technology that could capture strokes akin to the handmade movements of a pen or brush. The technology facilitated reproduction in multiples, which helped to quickly disseminate images of revolution to a wide array of consumers. The process required drawing upon a chemically treated stone with fat, wax, or a greasy crayon. The stone was then bathed in acid to etch the ungreased areas, allowing them to retain water when moistened. The greased areas would repel water but cling to ink, thus transferring designs to paper when pressed. Once the print had dried, the printer, colorist, or owner could add hand-colored pigments to accentuate costume details of the figure.\n",,"George Bayly (attr. artist, 1808–88)
Lithograph and watercolor, c. 1828–35\nBrown University Library, Anne S. K. Brown Military Collection",https://bruknow.library.brown.edu/permalink/01BU_INST/9mvq88/alma991030922389706966
1-5,1.5,1,56997,56997.webp,The Greeks Under Constantine Botzaris Storm the Fortress of Salona in October 1825 / Die Griechen unter Constantin Bozzaris bestürmen die Festung Salona im October 1825,"From its invention in the mid-seventeenth century, mezzotints primarily served to translate oil paintings into print. Its distinctive tones derived from tiny pits (rather than lines) in the metal plate, which held ink in darker areas, and were scraped smooth or burnished for brighter areas, giving the prints subtle gradations of light and shade. Printers could produce mezzotints more rapidly and cheaply than line engravings. Therefore, mezzotint became a favorite means to quickly disseminate timely images like recent battles and popular costume studies. Until the mid-nineteenth century, mezzotints acted as early forerunners of the photographic newspaper image. Printer Johann Lorenz Rugendas II became known in his earlier work on the Napoleonic Wars (1803–15) for enlisting local artists in an effort to render the most authentic scenes possible before transferring them into mezzotints. To create this print of the storming of Salona, either the printer or his agents similarly recorded decisive battles from the Greek War of Independence as eye-witnesses.",,"Johann Lorenz Rugendas II (artist, 1775–1826)
Aquatint, c. 1825
Brown University Library, Anne S. K. Brown Military Collection",https://repository.library.brown.edu/studio/item/bdr:244940/
2-1,2.1,2,56998,Howe.webp,Portrait of Dr. Samuel Gridley Howe,"Brown alumnus Samuel Gridley Howe (1801–76) was an American physician, abolitionist, and advocate of education for the blind. He established the Perkins Institution, the first American school for the blind, and served as its inaugural director in 1829. In 1824, Howe traveled to Greece to serve as a surgeon and commander of troops in the fight against the Ottomans. Upon his return in 1827, he raised funds and supplies for Greek refugees, earning the nickname “the Lafayette of the Greek Revolution.” He also brought Greek children back to Boston with him for their education. Howe commemorated his service with this portrait, dressed in a striking Greek costume of a characteristic vest, fez and sash. Inside the sash he has tucked an ornamented Ottoman-style dagger with a curved hilt.  His hand is ready to pull the trigger of a rifle resting on his lap.",,"John Elliott (painter, 1858–1925)
Oil on canvas, ca. 1870
Brown University, Brown Portrait Collection",https://library.brown.edu/cds/portraits/display.php?idno=70
2-2,2.2,2,56999,56999_Collection-De-Costumes_01m.webp,"Arrival of the Slave Seller to Constantinople in Collection de costumes civils et militaires, scènes populaires, et vues de l’Asie-Mineure","Costume albums like this one from Ottoman Smyrna reflect the sociopolitical concerns of their original owners. Many of the costume studies and scenes in this compilation portray individuals often encountered in the diverse social landscape of Smyrna, such as a slave merchant and his Christian captives. This topic had significance for American collectors like the Langdon family, who owned an identical print in another album now at Harvard Fine Arts Library. In 1827, Joseph Langdon rescued Garafilia Mohalebi, a Greek girl enslaved in a Muslim household at nine years old following her family’s murder by Ottoman soldiers. Joseph met Garafilia in the Smyrna bazaar and was so moved that he bought and emancipated her, eventually bringing her back to Boston with him. She died at thirteen while attending an Ursuline convent school. This girl’s tragedy inspired written and artistic works that fueled the American abolitionist movement before the Civil War.",,"Eugenio and Raffaele Fulgenzi (printers, active 1830s)
Smyrna, Ottoman Empire: Fulgenzi & Fils, 1838
Brown University Library, Anne S. K. Brown Military Collection",https://bruknow.library.brown.edu/permalink/01BU_INST/9mvq88/alma991028970649706966
2-3,2.3,2,52504,52504_Greek-Fund_01m.webp,Address of the Committee of the Greek Fund of the City of New-York to their Fellow-Citizens Throughout the United States.,"Between December 1823 and Washington’s birthday in February of 1824, visual and written accounts from the Mediterranean inspired many patriotic Americans to plan public events designed to raise financial support for the Greek War of Independence. Some adopted carnival-like themes, such as a “fancy dress ball” held in New York and similar events in Boston. Churches hosted special services addressing the Greek cause, which concurrently celebrated Washington’s birthday, across Virginia and Rhode Island. Popular literature, including odes like the one in the featured oration, portrayed Ottoman Turks as Muslim enemies of liberty while casting the Greeks as Christian victims of enslavement. Americans further related their political identities to that of the ancient Greeks and saw themselves (and contemporary Greeks) as heirs to an ancient political tradition of liberty and self-government. This rhetoric drew on themes that Americans associated with their own revolution and roused their empathy to come to the Greeks’ aid.",,"Committee of the Greek Fund of the City of New-York\nLetterpress print
New York, New York: J. W. Palmer & Co., 1823
Brown University, Brown University Library",https://bruknow.library.brown.edu/permalink/01BU_INST/9mvq88/alma991022181099706966
2-4,2.4,2,57000,57000_Solomon-Drowne-C_05m.webp,"An Oration, Delivered in the First Baptist Meeting-House, in Providence, at the Celebration, February 23, a. d. 1824 : In Commemoration of the Birth-Day of Washington, and in Aid of the Cause of the Greeks\n","Between December 1823 and Washington’s birthday in February of 1824, visual and written accounts from the Mediterranean inspired many patriotic Americans to plan public events designed to raise financial support for the Greek War of Independence. Some adopted carnival-like themes, such as a “fancy dress ball” held in New York and similar events in Boston. Churches hosted special services addressing the Greek cause, which concurrently celebrated Washington’s birthday, across Virginia and Rhode Island. Popular literature, including odes like the one in the featured oration, portrayed Ottoman Turks as Muslim enemies of liberty while casting the Greeks as Christian victims of enslavement. Americans further related their political identities to that of the ancient Greeks and saw themselves (and contemporary Greeks) as heirs to an ancient political tradition of liberty and self-government. This rhetoric drew on themes that Americans associated with their own revolution and roused their empathy to come to the Greeks’ aid.",,"Solomon Drowne and Caroline Matilda Thayer (authors)
Bound volume\nProvidence, Rhode Island: Brown & Danforth, 1824
Brown University Library, Sidney S. Rider Collection on Rhode Island History",https://bruknow.library.brown.edu/permalink/01BU_INST/9mvq88/alma991028980089706966
2-5,2.5,2,57001,turkish_barbarity.webp,"Turkish Barbarity: An Affecting Narrative of the Unparalleled Sufferings of Mrs. Sophia Mazro, a Greek Lady of Missolonghi…","Greek captive narratives circulated as wartime propaganda in the northeastern United States, the American region most involved in Mediterranean trade. This account relates the experiences of Sophia Mazro, a Greek woman taken prisoner with her daughters and enslaved by the Ottomans. The text emphasizes Mazro’s Christian faith in the face of threatening calls for conversion and the humanitarian horrors she endured. Such accounts — ranging from authentic to fictional — were printed to raise funds to support Greek independence against the Ottoman Empire. This volume later features the published letters of Dr. Samuel Gridley Howe, whose portrait hangs above, as further proof of the atrocities from an American military volunteer and eyewitness. The story’s setting of Missolonghi held significance for the philhellenic movement in Europe and America. The poet Lord Byron died there in 1834. Two years later, the town endured a massacre by the Ottomans, commemorated in Greece on the Ruins of Missolonghi, an 1826 painting by Eugène Delacroix.\n",,"Mr. Kelch (translator and Greek agent in London)
Bound printed volume with foldout
Providence, Rhode Island: 1828
Brown University Library, Sidney S. Rider Collection on Rhode Island History",https://bruknow.library.brown.edu/permalink/01BU_INST/9mvq88/alma991039065459706966
